StockCode,Description,TotalRevenue,TotalQuantity,UniqueInvoices,UniqueCustomers
23044,PAPER LANTERN 9 POINT HOLLY STAR 23,74.7,18,5,5
23044,PAPER LANTERN 9 POINT HOLLY STAR S,340.3,82,19,19
23045,PAPER LANTERN 5 POINT STAR MOON ,439.90000000000003,106,18,17
23045,PAPER LANTERN 5 POINT STAR MOON 30,41.5,10,5,5
23046,PAPER LANTERN 9 POINT DELUXE STAR,2091.55,347,34,31
23047,PAPER LANTERN 5 POINT SEQUIN STAR,287.5,50,21,21
23047,PAPER LANTERN 5 POINT STUDDED STAR,46.0,8,4,4
23048,SET OF 10 LANTERNS FAIRY LIGHT STAR,2248.14,560,85,81
23049,RECYCLED ACAPULCO MAT RED,3572.75,435,169,103
23050,RECYCLED ACAPULCO MAT GREEN,3763.55,459,176,116
23051,RECYCLED ACAPULCO MAT BLUE,2741.35,335,133,95
23052,RECYCLED ACAPULCO MAT TURQUOISE,4694.75,571,221,147
23053,RECYCLED ACAPULCO MAT PINK,2589.9,318,129,105
23054,RECYCLED ACAPULCO MAT LAVENDER,2189.7,266,109,81
23055,IVORY CHANDELIER T-LIGHT HOLDER,1286.72,560,36,33
23056,CRYSTAL CHANDELIER T-LIGHT HOLDER,18.75,3,1,1
23056,FLOWERS CHANDELIER T-LIGHT HOLDER,2770.91,863,36,32
23057,BEADED CHANDELIER T-LIGHT HOLDER,1298.44,596,34,31
23057,GEMSTONE CHANDELIER T-LIGHT HOLDER,347.7,78,7,7
23058,CHRISTMAS HANGING SNOWFLAKE,421.02000000000004,486,44,39
23060,HEART BEADED TRELLIS DECORATION,507.52000000000004,244,39,34
23061,VINTAGE EMBOSSED HEART,1102.46,886,84,72
23061,VINTAGE ENGRAVED HEART,75.0,60,4,4
23064,CINDERELLA CHANDELIER ,3617.6000000000004,220,22,20
23065,LARGE DECO JEWELLERY STAND,2977.8,246,88,77
23065,LARGE JEWELLERY STAND,125.0,10,4,4
23066,SMALL DECO JEWELLERY STAND,1831.65,229,70,63
23066,SMALL JEWELLERY STAND,132.0,16,6,6
23067,HANGING ENGRAVED METAL HEART,1137.1000000000001,274,71,63
23068,ALUMINIUM HEART,74.7,30,6,6
23068,ALUMINIUM STAMPED HEART,1852.5500000000002,771,124,100
23069,EDWARDIAN PHOTO FRAME,543.75,87,31,27
23070,EDWARDIAN HEART PHOTO FRAME,610.0500000000001,147,33,29
23071,MARIE ANTOIENETT TRINKET BOX GOLD,12.5,1,1,1
23071,MARIE ANTOINETTE TRINKET BOX GOLD,1167.6,312,16,15
23072,MARIE ANTOINETTE TRINKET BOX SILVER,1099.0,326,22,21
23073,GEORGIAN TRINKET BOX,1681.5,141,59,49
23074,EMBOSSED HEART TRINKET BOX,444.02000000000004,221,35,32
23075,DOUBLE CERAMIC PARLOUR HOOK,91.30000000000001,22,5,5
23075,PARLOUR CERAMIC WALL HOOK,1819.25,443,72,56
23076,ICE CREAM SUNDAE LIP GLOSS,9638.16,7896,248,202
23077,DOUGHNUT LIP GLOSS ,11615.7,9642,308,217
23078,ICE CREAM PEN LIP GLOSS ,8077.31,6607,213,159
23079, TOADSTOOL BEDSIDE LIGHT ,17.9,2,1,1
23079,TOADSTOOL BEDSIDE LIGHT ,2180.7,246,103,82
23080,RED METAL BOX TOP SECRET,7920.78,998,221,148
23081,GREEN METAL BOX ARMY SUPPLIES,3474.39,437,111,78
23081,GREEN METAL BOX TOP SECRET,132.0,16,4,4
23082,SET 6 PAPER TABLE LANTERN HEARTS ,8110.68,2260,263,205
23083,SET 6 PAPER TABLE LANTERN STARS ,6735.88,1859,209,161
23084,RABBIT NIGHT LIGHT,51251.24,27153,801,450
23085,ANTIQUE SILVER BAUBLE LAMP  ,3437.7000000000003,369,72,64
23086,ZINC  STAR T-LIGHT HOLDER ,1357.79,1183,35,30
23086,ZINC STAR T-LIGHT HOLDER ,10.0,8,1,1
23087,ZINC  HEART T-LIGHT HOLDER,997.1800000000001,830,49,43
23088,ZINC HEART FLOWER T-LIGHT HOLDER,947.18,760,57,52
23089,GLASS BON BON JAR,3495.27,2135,134,101
23090,VINTAGE GLASS T-LIGHT HOLDER,1722.7900000000002,2129,122,96
23091,METAL HERB GERDEN CONTAINER,139.68,24,5,5
23091,ZINC HERB GARDEN CONTAINER,3279.82,535,187,155
23092,LARGE ANTIQUE WHITE PHOTO FRAME,3568.26,507,125,96
23093,SMALL PARISIENNE HEART PHOTO FRAME ,2122.67,915,123,105
23094,LE GRAND TRAY CHIC SET,1837.5,147,74,65
23096,PETIT TRAY CHIC,1606.73,993,117,89
23099,FRENCH CARRIAGE LANTERN,858.9000000000001,132,54,46
23100,SILVER BELLS TABLE DECORATION,2562.1,2090,213,180
23101,SILVER STARS TABLE DECORATION,1569.6200000000001,1942,190,175
23102,SILVER HEARTS TABLE DECORATION,995.33,1231,139,128
23103,BELL HEART DECORATION,387.0,252,9,9
23103,JINGLE BELL HEART DECORATION,6055.95,3679,307,223
23104,IVORY CAFE HANGING LAMP ,1330.5,114,43,37
23104,IVORY PANTRY HANGING LAMP ,25.0,2,1,1
23106,ZINC HEARTS PLANT POT HOLDER,746.15,275,49,48
23106,ZINC PLANT POT HOLDER,23.12,8,1,1
23107,WHITE HEARTS WIRE PLANT POT HOLDER,873.5600000000001,324,59,58
23107,WHITE WIRE PLANT POT HOLDER,46.24,16,2,2
23108,SET OF 10 LED DOLLY LIGHTS,12972.73,2192,351,271
23109,LED TEA LIGHTS,1676.35,595,54,54
23109,PACK OF SIX LED TEA LIGHTS,4808.55,1715,174,132
23110,PARISIENNE KEY CABINET ,3673.7,662,219,157
23111,PARISIENNE SEWING BOX,3464.8,296,124,80
23112,PARISIENNE CURIO CABINET,3437.3,471,183,134
23113,PANTRY CHOPPING BOARD,5695.860000000001,1138,43,39
23114,VINTAGE LEAF CHOPPING BOARD  ,684.0,144,41,40
23115,RED APPLES CHOPPING BOARD   ,684.0,144,38,38
23116,VEGETABLE GARDEN CHOPPING BOARD,317.70000000000005,70,17,17
23117,POPPY FIELDS CHOPPING BOARD,420.75,85,39,39
23118,PARISIENNE JEWELLERY DRAWER ,5399.02,765,225,154
23119,PACK OF 6 LARGE FRUIT STRAWS ,1275.71,2155,116,97
23120,PACK OF 6 SMALL FRUIT STRAWS,644.58,1617,79,69
23121,PACK OF 6 COCKTAIL PARASOL STRAWS,958.32,2460,87,81
23122,PARTY CHARMS 50 PIECES,1552.65,2091,94,89
23123,COCKTAIL SWORDS 50 PIECES,705.2500000000001,899,68,64
23124,18PC WOODEN CUTLERY SET DISPOSABLE,595.15,503,24,23
23125,6PC WOOD PLATE SET DISPOSABLE,443.25,405,16,15
23126,DOLLCRAFT GIRL AMELIE,178.2,36,8,8
23126,DOLLCRAFT GIRL AMELIE KIT,294.7,66,8,8
23126,FELTCRAFT GIRL AMELIE KIT,4799.38,982,255,187
23127,DOLLCRAFT GIRL NICOLE,336.6,68,12,12
23127,FELTCRAFT GIRL NICOLE KIT,3169.79,645,170,137
23128,DOLLCRAFT BOY JEAN-PAUL ,373.9,82,12,12
23128,FELTCRAFT BOY JEAN-PAUL KIT,1711.23,349,117,103
23129,HEART SHAPED HOLLY WREATH,3933.1800000000003,942,165,138
23130,MISELTOE HEART WREATH ,312.8,80,5,5
23130,MISTLETOE HEART WREATH GREEN,3435.62,838,162,135
23131,MISELTOE HEART WREATH CREAM,996.0,240,1,1
23131,MISELTOE HEART WREATH WHITE,304.5,78,4,4
23131,MISTLETOE HEART WREATH CREAM,2332.13,575,103,86
23132,SMALL IVORY HEART WALL ORGANISER,4989.08,1008,141,115
23133,LARGE IVORY HEART WALL ORGANISER,5142.91,759,134,94
23134,LARGE ZINC HEART WALL ORGANISER,6414.48,1064,37,29
23135,SMALL ZINC HEART WALL ORGANISER,5378.8,1538,42,31
23136,IVORY WIRE SWEETHEART LETTER TRAY,467.05,127,44,39
23137,ZINC WIRE SWEETHEART LETTER TRAY,253.24,80,20,18
23138,SINGLE WIRE HOOK IVORY HEART,1201.8999999999999,870,75,60
23139,SINGLE WIRE HOOK PINK HEART,502.38,406,22,20
23140,TRIPLE WIRE HOOK IVORY HEART,658.54,160,35,29
23141,TRIPLE WIRE HOOK PINK HEART,215.0,68,18,18
23142,IVORY WIRE KITCHEN ORGANISER,1137.65,116,36,34
23143,ZINC WIRE KITCHEN ORGANISER,156.8,25,12,12
23144,ZINC T-LIGHT HOLDER STARS SMALL,3879.98,4894,237,180
23145,ZINC T-LIGHT HOLDER STAR LARGE,1896.54,2030,148,126
23145,ZINC T-LIGHT HOLDER STARS LARGE,22.8,24,2,2
23146,TRIPLE HOOK ANTIQUE IVORY ROSE,2526.02,778,211,151
23147,SINGLE ANTIQUE ROSE HOOK IVORY,2669.95,1843,250,170
23148,MINIATURE ANTIQUE ROSE HOOK IVORY,1711.5500000000002,2065,230,142
23148,MINITURE ANTIQUE ROSE HOOK IVORY,40.8,48,4,4
23149,ANTIQUE IVORY WIRE BOWL SMALL,241.53,97,19,17
23150,IVORY SWEETHEART SOAP DISH,346.11,139,40,33
23151,ZINC SWEETHEART SOAP DISH,104.41,59,19,18
23152,IVORY SWEETHEART WIRE LETTER RACK ,1998.51,541,149,108
23153,ZINC SWEETHEART WIRE LETTER RACK,923.63,248,78,67
23154,SET OF 4 JAM JAR MAGNETS,4922.01,2441,214,141
23155,KNICKERBOCKERGLORY MAGNET ASSORTED ,1669.38,2094,111,84
23156,SET OF 5 MINI GROCERY MAGNETS,3297.2200000000003,1631,184,117
23157,SET OF 6 NATIVITY MAGNETS ,5031.55,2770,146,111
23158,SET OF 5 LUCKY CAT MAGNETS ,5117.32,2536,187,96
23159,SET OF 5 PANCAKE DAY MAGNETS,4562.7300000000005,2255,195,121
23160,REGENCY TEA SPOON,1651.8,1392,60,50
23161,REGENCY CAKE FORK,1896.6,1608,68,58
23162,REGENCY TEA STRAINER,4789.24,1362,142,96
23163,REGENCY SUGAR TONGS,3949.7000000000003,1714,134,95
23164,REGENCY CAKE SLICE,2579.21,564,80,70
23165,LARGE CERAMIC TOP STORAGE JAR,4617.9,2950,220,167
23166,MEDIUM CERAMIC TOP STORAGE JAR,81416.73000000001,77916,195,138
23167,SMALL CERAMIC TOP STORAGE JAR ,4184.18,5666,177,129
23168,CLASSIC CAFE SUGAR DISPENSER,3037.1,2633,208,132
23168,CLASSIC SUGAR DISPENSER,247.32,216,12,12
23169,CLASSIC GLASS COOKIE JAR,5350.2,1332,248,191
23169,CLASSIC GLASS SWEET JAR,479.45,119,14,14
23170,REGENCY TEA PLATE ROSES ,10170.99,6563,328,224
23171,REGENCY TEA PLATE GREEN ,9184.9,5966,270,195
23172,REGENCY TEA PLATE PINK,5793.28,3688,224,160
23173,REGENCY TEAPOT ROSES ,23033.52,2662,354,248
23174,REGENCY SUGAR BOWL GREEN,11567.24,2954,268,190
23175,REGENCY MILK JUG PINK ,8995.0,3062,272,206
23176,ABC TREASURE BOOK BOX ,4373.26,2088,186,159
23177,TREASURE ISLAND BOOK BOX,5029.8,2428,214,174
23178,JAM CLOCK MAGNET,838.47,309,55,50
23179,CLOCK MAGNET MUM'S KITCHEN,837.88,304,40,36
23180,MUM'S KITCHEN CLOCK,471.90000000000003,104,36,29
23181,BULL DOG BOTTLE TOP WALL CLOCK,1484.25,185,69,60
23182,TOILET SIGN OCCUPIED OR VACANT,2807.69,3378,254,140
23183,MOTHER'S KITCHEN SPOON REST ,690.71,178,58,45
23184,BULL DOG BOTTLE OPENER,3749.5,778,197,129
23185,FRENCH STYLE STORAGE JAR JAM,114.85,317,30,27
23186,FRENCH STYLE STORAGE JAR CAFE ,819.4599999999999,1982,70,57
23187,FRENCH STYLE STORAGE JAR BONBONS,695.06,2338,74,66
23188,VINTAGE  2 METER FOLDING RULER,2902.4700000000003,1775,155,131
23188,VINTAGE  2 METRE FOLDING RULER,2197.69,1321,127,102
23189,SET OF 12 FORK CANDLES,3319.35,1215,113,89
23190,BUNDLE OF 3 SCHOOL EXERCISE BOOKS  ,2691.14,1678,179,145
23191,BUNDLE OF 3 RETRO EXERCISE BOOKS,99.0,60,5,5
23191,BUNDLE OF 3 RETRO NOTE BOOKS,3393.35,2099,240,178
23192,BUNDLE OF 3 ALPHABET EXERCISE BOOKS,5197.17,3269,312,224
23193,BUFFALO BILL TREASURE BOOK BOX,3750.57,1847,137,109
23194,GYMKHANA TREASURE BOOK BOX,3417.83,1630,156,128
23194,GYMKHANNA TREASURE BOOK BOX,261.84000000000003,120,14,14
23196,LEAVES MAGNETIC  SHOPPING LIST,34.8,24,2,2
23196,RETO LEAVES MAGNETIC SHOPPING LIST,52.199999999999996,36,3,3
23196,RETRO LEAVES MAGNETIC NOTEPAD,149.35,103,17,17
23196,VINTAGE LEAF MAGNETIC NOTEPAD,2242.65,1593,211,159
23197,SKETCHBOOK MAGNETIC SHOPPING LIST,1900.9399999999998,1318,180,113
23197,VEGETABLE MAGNETIC  SHOPPING LIST,49.8,36,3,3
23198,PANTRY MAGNETIC  SHOPPING LIST,4341.19,3063,374,259
23199,JUMBO BAG APPLES,26426.3,13875,718,344
23200,JUMBO BAG PEARS,13034.92,6729,470,262
23201,JUMBO BAG ALPHABET,24160.44,12533,752,396
23202,JUMBO BAG VINTAGE LEAF,20921.55,10695,772,377
23203,JUMBO BAG DOILEY PATTERNS,16737.1,8735,454,299
23203,JUMBO BAG VINTAGE DOILEY ,268.44,143,6,6
23203,JUMBO BAG VINTAGE DOILY ,20641.4,10620,621,363
23204,CHARLOTTE BAG APPLES DESIGN,5632.15,7039,425,199
23205,CHARLOTTE BAG ALPHABET  DESIGN,320.5,400,22,22
23205,CHARLOTTE BAG VINTAGE ALPHABET ,3784.52,4750,323,192
23206,LUNCH BAG APPLE DESIGN,18220.5,11530,866,401
23207,LUNCH BAG ALPHABET DESIGN,11994.41,7533,647,377
23208,LUNCH BAG VINTAGE LEAF DESIGN,9950.35,6191,597,305
23209,LUNCH BAG DOILEY PATTERN ,10323.05,6477,464,290
23209,LUNCH BAG VINTAGE DOILEY ,115.5,70,4,4
23209,LUNCH BAG VINTAGE DOILY ,10347.66,6438,538,319
23210,WHITE ROCKING HORSE HAND PAINTED,3311.5,2750,154,115
23211,RED ROCKING HORSE HAND PAINTED,2631.5,2206,116,82
23212,HEART WREATH DECORATION WITH BELL,2562.63,2163,144,103
23212,PAINTED HEART WREATH WITH BELL,15.0,12,1,1
23213,STAR WREATH DECORATION WITH BELL,1921.94,1594,121,95
23214,BELL HEART ANTIQUE GOLD,24.96,12,1,1
23214,JINGLE BELL HEART ANTIQUE GOLD,1599.8700000000001,760,91,78
23215,JINGLE BELL HEART ANTIQUE SILVER,6955.8,3544,197,162
23216,LAUREL HEART ANTIQUE GOLD,613.51,518,40,32
23217,LAUREL HEART ANTIQUE SILVER,1567.0,1290,84,64
23218,LAUREL STAR ANTIQUE GOLD,465.81,372,33,27
23219,LAUREL STAR ANTIQUE SILVER ,504.6,404,49,41
23220,REINDEER HEART DECORATION GOLD,774.4300000000001,929,77,55
23221,REINDEER HEART DECORATION SILVER,1241.5900000000001,1461,110,85
23222,CHRISTMAS TREE HANGING GOLD,690.64,776,64,49
23223,CHRISTMAS TREE HANGING SILVER ,670.11,745,67,51
23224,CHERUB HEART DECORATION GOLD,620.45,719,59,44
23225,CHERUB HEART DECORATION SILVER ,1089.6000000000001,1296,69,46
23226,FILIGREE HEART DAISY WHITE,1478.59,1199,71,56
23227,FILIGREE HEART BUTTERFLY WHITE ,1947.06,1592,87,61
23228,FILIGREE HEART BIRD WHITE ,1726.3,1397,78,58
23229,DONKEY TAIL GAME ,189.54000000000002,54,4,4
23229,VINTAGE DONKEY TAIL GAME ,6146.89,1750,215,182
23230,WRAP ALPHABET DESIGN,3196.5,7925,232,178
23231,WRAP  VINTAGE DOILEY ,42.0,100,2,2
23231,WRAP  VINTAGE DOILY ,1029.0,2450,93,80
23231,WRAP DOILEY DESIGN,1915.5,4675,162,124
23232,WRAP VINTAGE LEAF DESIGN,2109.42,5251,134,118
23232,WRAP VINTAGE PETALS  DESIGN,1327.5,3275,104,95
23233,WRAP POPPIES  DESIGN,2105.5,5175,158,130
23234,BISCUIT TIN VINTAGE CHRISTMAS,4567.38,1848,233,201
23235,BISCUIT TIN VINTAGE LEAF,64.56,24,3,3
23235,STORAGE TIN VINTAGE LEAF,1831.1,702,93,86
23236,DOILEY BISCUIT TIN,327.59999999999997,120,13,13
23236,DOILEY STORAGE TIN,2934.98,1082,112,93
23236,STORAGE TIN VINTAGE DOILEY ,17.34,6,1,1
23236,STORAGE TIN VINTAGE DOILY ,3502.15,1235,158,124
23237,SET OF 4 KNICK KNACK TINS LEAF,2970.85,739,116,94
23237,SET OF 4 KNICK KNACK TINS LEAVES ,1237.2,304,53,51
23238,SET OF 4 KNICK KNACK TINS LONDON ,7116.65,1775,233,150
23239,SET OF 4 KNICK KNACK TINS POPPIES,3142.4,812,155,125
23240,SET OF 4 KNICK KNACK TINS  DOILEY ,24.9,6,1,1
23240,SET OF 4 KNICK KNACK TINS DOILEY ,7132.7,1802,172,142
23240,SET OF 4 KNICK KNACK TINS DOILY ,9237.3,2286,312,230
23241,TREASURE TIN GYMKHANA DESIGN,4060.0,2005,284,183
23242,TREASURE TIN BUFFALO BILL ,2886.0800000000004,1430,187,132
23243,SET OF TEA COFFEE SUGAR TINS PANTRY,22109.079999999998,4658,385,275
23244,CANNISTER VINTAGE LEAF DESIGN,23.4,12,2,2
23244,ROUND STORAGE TIN VINTAGE LEAF,1552.5099999999998,853,96,80
23244,STORAGE TIN VINTAGE LEAF,117.0,60,7,7
23245,SET OF 3 REGENCY CAKE TINS,26566.280000000002,5844,718,472
23247,BISCUIT TIN 50'S CHRISTMAS,5760.52,2048,271,231
23249,ENAMEL DINNER PLATE PANTRY,19.8,12,1,1
23249,VINTAGE RED ENAMEL TRIM PLATE,1254.9,778,67,56
23250,ENAMEL BOWL PANTRY,30.0,24,2,2
23250,VINTAGE RED TRIM ENAMEL BOWL ,1328.59,1079,87,63
23251,ENAMEL MUG PANTRY,15.0,12,1,1
23251,VINTAGE RED ENAMEL TRIM MUG ,1940.45,1633,101,80
23252,ENAMEL JUG PANTRY,30.0,8,2,2
23252,VINTAGE RED ENAMEL TRIM JUG ,2123.34,578,123,104
23253,16 PC CUTLERY SET PANTRY DESIGN,63.8,4,1,1
23253,16 PIECE CUTLERY SET PANTRY DESIGN,3018.2999999999997,210,46,43
23254,CHILDRENS CUTLERY DOLLY GIRL ,6525.55,1621,268,197
23254,KIDS CUTLERY DOLLY GIRL ,149.4,36,8,8
23255,CHILDRENS CUTLERY CIRCUS PARADE,3852.44,962,143,116
23256,CHILDRENS CUTLERY SPACEBOY ,7966.08,1980,316,225
23256,KIDS CUTLERY SPACEBOY ,149.4,36,8,8
23263,SET OF 3 WOODEN HEART DECORATIONS,4791.58,3717,389,269
23264,SET OF 3 WOODEN SLEIGH DECORATIONS,2396.7,1842,249,177
23265,SET OF 3 WOODEN TREE DECORATIONS,2153.71,1665,246,180
23266,SET OF 3 WOODEN STOCKING DECORATION,2529.64,1964,274,201
23267,SET OF 4 SANTA PLACE SETTINGS,1427.34,1158,91,79
23268,SET OF 2 CERAMIC CHRISTMAS REINDEER,1980.1799999999998,1626,79,68
23269,SET OF 2 CERAMIC CHRISTMAS TREES,1065.3999999999999,748,76,63
23270,SET OF 2 CERAMIC PAINTED HEARTS ,1612.85,1253,119,96
23271,CHRISTMAS TABLE CANDLE SILVER SPIKE,13.28,16,1,1
23271,CHRISTMAS TABLE SILVER CANDLE SPIKE,1301.05,1603,74,68
23272,TREE T-LIGHT HOLDER WILLIE WINKIE,522.74,352,35,34
23273,HEART T-LIGHT HOLDER WILLIE WINKIE,1533.8400000000001,928,97,88
23274,STAR T-LIGHT HOLDER WILLIE WINKIE,1870.11,1139,98,85
23275,SET OF 3 HANGING OWLS OLLIE BEAK,4291.17,3613,270,171
23280,FOLDING BUTTERFLY MIRROR HOT PINK ,1427.16,1838,128,84
23280,FOLDING MIRROR HOT PINK ,118.92000000000002,156,5,5
23281,FOLDING BUTTERFLY MIRROR RED  ,961.2800000000001,1252,89,56
23281,FOLDING MIRROR RED  ,14.940000000000001,18,2,2
23282,FOLDING BUTTERFLY MIRROR IVORY ,597.7800000000001,735,100,67
23282,FOLDING MIRROR IVORY ,14.940000000000001,18,2,2
23283,DOORMAT VINTAGE LEAF,3766.57,541,121,100
23283,DOORMAT VINTAGE LEAVES DESIGN ,2833.7000000000003,426,88,75
23284,DOORMAT KEEP CALM AND COME IN,35880.85,5338,648,378
23285,PINK VINTAGE SPOT BEAKER,4384.83,4679,132,108
23286,BLUE VINTAGE SPOT BEAKER,4528.29,4901,164,125
23287,RED VINTAGE SPOT BEAKER,1445.5,1774,146,114
23288,GREEN VINTAGE SPOT BEAKER,4261.889999999999,4505,134,107
23289,DOLLY GIRL CHILDRENS BOWL,1854.8500000000001,1553,141,111
23290,SPACEBOY CHILDRENS BOWL,2757.15,2367,174,125
23291,DOLLY GIRL CHILDRENS CUP,1880.1399999999999,1548,144,104
23292,SPACE BOY CHILDRENS CUP,143.3,130,5,5
23292,SPACEBOY CHILDRENS CUP,2343.07,1951,159,112
23293,SET OF 12 FAIRY CAKE BAKING CASES,6457.0,8228,465,323
23294,SET OF 6 SNACK LOAF BAKING CASES,3336.94,4264,291,214
23295,SET OF 12 MINI LOAF BAKING CASES,4670.63,5957,359,250
23296,SET OF 6 TEA TIME BAKING CASES,5684.650000000001,4877,319,243
23297,SET 40 HEART SHAPE PETIT FOUR CASES,6677.0,4260,140,123
23298,"BUNTING , SPOTTY ",634.7,146,7,7
23298,SPOTTY BUNTING,35509.55,7633,1003,571
23299,"FOOD COVER WITH BEADS , SET 2 SIZES",11.25,3,1,1
23299,FOOD COVER WITH BEADS SET 2 ,3545.17,977,121,109
23300,GARDENERS KNEELING PAD CUP OF TEA ,9933.69,6285,635,351
23301,GARDENERS KNEELING PAD KEEP CALM ,12463.78,7722,756,405
23302,KNEELING MAT HOUSEWORK  DESIGN,1980.71,1473,187,140
23303,SET 4 PICNIC CUTLERY FONDANT,126.75,65,6,6
23304,SET 4 PICNIC CUTLERY CHERRY ,138.45,71,9,9
23305,SET 4 PICNIC CUTLERY BLUEBERRY,159.9,82,9,9
23306,SET OF 36 DOILIES PANTRY DESIGN,3761.9199999999996,2653,195,172
23306,SET OF 36 PANTRY PAPER DOILIES,58.019999999999996,39,14,14
23307,SET OF 60 PANTRY DESIGN CAKE CASES ,5974.389999999999,11661,504,366
23308,SET OF 60 VINTAGE LEAF CAKE CASES ,3091.61,5955,305,209
23309,SET OF 60 I LOVE LONDON CAKE CASES ,3697.7,7670,294,178
23310,BUBBLEGUM RING ASSORTED,4894.83,11891,213,146
23311,VINTAGE CHRISTMAS STOCKING ,5564.25,2199,281,246
23312,VINTAGE CHRISTMAS GIFT SACK,5523.0,1364,193,168
23313,VINTAGE CHRISTMAS BUNTING,12960.12,2748,359,254
23314,VINTAGE CHRISTMAS TABLECLOTH,4638.52,391,104,87
23315,IVORY REFECTORY CLOCK,1894.6999999999998,202,76,63
23316,RED REFECTORY CLOCK ,2212.25,235,95,75
23317,BLUE REFECTORY CLOCK ,1547.95,161,70,56
23318,BOX OF 6 MINI VINTAGE CRACKERS,8345.43,3645,329,270
23319,BOX OF 6 MINI 50'S CRACKERS,8169.4800000000005,3520,365,300
23320,GIANT 50'S CHRISTMAS CRACKER,6907.52,2628,310,260
23321,SMALL WHITE HEART OF WICKER,6798.1,4262,582,378
23322,LARGE WHITE HEART OF WICKER,8137.500000000001,2892,511,350
23323,WHITE WICKER STAR ,2954.7000000000003,1422,270,210
23324,RUSTIC STRAWBERRY JAM POT LARGE ,531.84,261,33,32
23324,RUSTIC STRAWBERRY JAMPOT LARGE ,238.56,120,6,6
23325,RUSTIC STRAWBERRY JAM POT SMALL,642.0,408,27,24
23325,RUSTIC STRAWBERRY JAMPOT SMALL,59.400000000000006,36,3,3
23326,HANGING MINI COLOURED BOTTLES,1999.59,3369,55,52
23327,HANGING CLEAR MINI BOTTLE,1012.02,1710,34,33
23328,SET 6 SCHOOL MILK BOTTLES IN CRATE,7495.29,2063,281,195
23329,DECORATIVE WICKER HEART LARGE,2794.65,1701,215,168
23330,DECORATIVE WICKER HEART MEDIUM,2181.19,1751,195,158
23331,DECORATIVE WICKER HEART SMALL,932.28,1492,81,67
23332,IVORY WICKER HEART LARGE,3255.75,1979,267,207
23333,IVORY WICKER HEART MEDIUM,2498.65,2009,216,179
23334,IVORY WICKER HEART SMALL,1345.5,2154,95,83
23335,EGG FRYING PAN IVORY ,722.5600000000001,358,81,62
23336,EGG FRYING PAN PINK ,415.97,199,63,46
23337,EGG FRYING PAN MINT ,351.52000000000004,169,60,49
23338,EGG FRYING PAN RED ,820.32,405,91,62
23339,EGG FRYING PAN BLUE ,312.0,150,58,43
23340,VINTAGE CHRISTMAS CAKE FRILL,3879.4500000000003,2453,122,112
23341,PINK DINER WALL CLOCK,2317.1,281,98,75
23342,MINT DINER CLOCK,17.0,2,1,1
23342,MINT DINER WALL CLOCK,3034.5,363,154,104
23343,JUMBO BAG VINTAGE CHRISTMAS ,9742.1,4905,385,286
23344,JUMBO BAG 50'S CHRISTMAS ,17636.04,8933,586,391
23345, DOLLY GIRL BEAKER,2754.5,2394,133,100
23346,SPACEBOY BEAKER,2970.75,2567,138,106
23347,I LOVE LONDON BEAKER,999.75,827,70,51
23348,CHILDRENS TOY COOKING UTENSIL SET,1363.16,676,122,95
23349,ROLL WRAP VINTAGE CHRISTMAS,3450.39,2847,246,214
23350,ROLL WRAP VINTAGE SPOT ,3154.4,2584,246,205
23351,ROLL WRAP 50'S CHRISTMAS,3694.02,3054,271,242
23352,ROLL WRAP 50'S RED CHRISTMAS ,1961.01,1593,162,151
23353,6 GIFT TAGS VINTAGE CHRISTMAS ,3068.82,3726,253,227
23354,6 GIFT TAGS 50'S CHRISTMAS ,2750.9300000000003,3343,261,235
23355,HOT WATER BOTTLE KEEP CALM,24302.55,5313,719,474
23356,LOVE HOT WATER BOTTLE,12954.75,2325,449,316
23357,HOT WATER BOTTLE SEX BOMB,1832.0,432,88,79
23358,HOT STUFF HOT WATER BOTTLE,1686.15,527,67,61
23359,SET OF 12 T-LIGHTS VINTAGE DOILEY,118.94999999999999,61,6,6
23359,SET OF 12 T-LIGHTS VINTAGE DOILY,1715.85,915,70,67
23360,SET 8 CANDLES VINTAGE DOILEY,216.29999999999998,122,7,7
23360,SET 8 CANDLES VINTAGE DOILY,1932.0,1024,100,88
23365,SET 12 COLOUR PENCILS LOVE LONDON,991.45,1529,128,107
23366,SET 12 COLOUR PENCILS DOILEY,31.200000000000003,48,3,3
23366,SET 12 COLOURING PENCILS DOILEY,0.65,1,1,1
23366,SET 12 COLOURING PENCILS DOILY,1177.1000000000001,1870,137,112
23367,SET 12 COLOUR PENCILS SPACEBOY ,1803.3,2778,231,184
23368,SET 12 COLOUR PENCILS DOLLY GIRL ,1396.4,2152,178,134
23369,SET 36 COLOUR PENCILS LOVE LONDON,1053.29,901,95,80
23370,SET 36 COLOUR PENCILS DOILEY,80.0,64,3,3
23370,SET 36 COLOURING PENCILS DOILEY,1.25,1,1,1
23370,SET 36 COLOURING PENCILS DOILY,1562.6100000000001,1289,102,84
23371,SET 36 COLOUR PENCILS SPACEBOY ,1775.22,1498,133,98
23372,SET 36 COLOUR PENCILS DOLLY GIRL,1520.22,1294,99,76
23373,VINTAGE CHRISTMAS PAPER GIFT BAG,1241.6599999999999,1563,88,86
23374,RED SPOT PAPER GIFT BAG,1944.08,2444,122,108
23375,50'S CHRISTMAS PAPER GIFT BAG,1059.9399999999998,1317,88,85
